etablissement;annee;ville;academie;departement;taux_brut_de_reussite_total_series;taux_reussite_attendu_france_total_series
LYCEE ST FRANCOIS DE SALES (GENERAL ET TECHNO.);2015;ALENCON;NORMANDIE;ORNE;96;95
LYCEE GERARD DE NERVAL;2018;LUZARCHES;VERSAILLES;VAL D'OISE;87;93
LYCEE SAINT THOMAS D'AQUIN (GENERAL ET TECHNO.);2015;FLERS;NORMANDIE;ORNE;96;97
LYCEE NOTRE DAME DE LA COMPASSION (GENERAL ET TECHNO.);2018;PONTOISE;VERSAILLES;VAL D'OISE;99;99
LYCEE LEO LAGRANGE;2015;BULLY LES MINES;LILLE;PAS DE CALAIS;93;84
LYCEE DE LA TOURELLE (GENERAL ET TECHNO.);2018;SARCELLES;VERSAILLES;VAL D'OISE;73;72
LYCEE SOPHIE BERTHELOT;2015;CALAIS;LILLE;PAS DE CALAIS;95;93
LYCEE CAMILLE CLAUDEL (GENERAL ET TECHNO.);2018;VAUREAL;VERSAILLES;VAL D'OISE;87;91
LYCEE LOUIS PASTEUR (GENERAL ET TECHNO.);2015;HENIN BEAUMONT;LILLE;PAS DE CALAIS;90;87
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2018;FRANCONVILLE;VERSAILLES;VAL D'OISE;82;85
LYCEE HENRI DARRAS;2015;LIEVIN;LILLE;PAS DE CALAIS;90;90
LYCEE EVARISTE GALOIS (GENERAL ET TECHNO.);2018;BEAUMONT SUR OISE;VERSAILLES;VAL D'OISE;83;89
LYCEE ANATOLE FRANCE;2015;LILLERS;LILLE;PAS DE CALAIS;94;94
LYCEE LEONARD DE VINCI;2018;ST WITZ;VERSAILLES;VAL D'OISE;90;88
LYCEE EUGENE WOILLEZ (GENERAL ET TECHNO.);2015;MONTREUIL;LILLE;PAS DE CALAIS;93;95
LYCEE GEORGE SAND (GENERAL ET TECHNO.);2018;DOMONT;VERSAILLES;VAL D'OISE;82;88
LYCEE DE L'AA;2015;ST OMER;LILLE;PAS DE CALAIS;91;94
LYCEE OZAR HATORAH;2018;SARCELLES;VERSAILLES;VAL D'OISE;83;77
LYCEE SAINT VAAST-SAINT DOMINIQUE;2015;BETHUNE;LILLE;PAS DE CALAIS;97;97
LYCEE FESCH;2018;AJACCIO;CORSE;CORSE DU SUD;90;87
LYCEE NOTRE-DAME DE SION;2015;ST OMER;LILLE;PAS DE CALAIS;95;95
LYCEE JARDIN D'ESSAI;2018;LES ABYMES;GUADELOUPE;GUADELOUPE;99;95
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.);2015;BEUVRY;LILLE;PAS DE CALAIS;90;91
LYCEE HYACINTHE BASTARAUD (GENERAL ET TECHNO.);2018;GRAND BOURG;GUADELOUPE;GUADELOUPE;98;92
LYCEE VOLTAIRE;2015;WINGLES;LILLE;PAS DE CALAIS;83;85
LYCEE HOTELIER DU GOSIER (GENERAL ET TECHNO.);2018;LE GOSIER;GUADELOUPE;GUADELOUPE;100;97
LYCEE GIRAUX SANNIER (GENERAL ET TECHNO.);2015;ST MARTIN BOULOGNE;LILLE;PAS DE CALAIS;95;95
LYCEE ST JOSEPH DE CLUNY;2018;FORT DE FRANCE;MARTINIQUE;MARTINIQUE;100;97
LYCEE GAMBETTA CARNOT;2015;ARRAS;LILLE;PAS DE CALAIS;90;91
LYCEE ACAJOU 1;2018;LE LAMENTIN;MARTINIQUE;MARTINIQUE;77;79
LYCEE BLAISE PASCAL;2015;CLERMONT FERRAND;CLERMONT-FERRAND;PUY DE DOME;96;97
LYCEE LA JETEE (GENERAL ET TECHNO.);2018;LE FRANCOIS;MARTINIQUE;MARTINIQUE;87;76
LYCEE MONTDORY;2015;THIERS;CLERMONT-FERRAND;PUY DE DOME;91;92
LYCEE MELKIOR-GARRE (GENERAL ET TECHNO.);2018;CAYENNE;GUYANE;GUYANE;88;85
LYCEE JEAN ZAY;2015;THIERS;CLERMONT-FERRAND;PUY DE DOME;93;93
LYCEE LECONTE DE LISLE;2018;ST DENIS;LA REUNION;REUNION;93;90
LYCEE SAINTE THECLE;2015;CHAMALIERES;CLERMONT-FERRAND;PUY DE DOME;97;94
LYCEE EVARISTE DE PARNY;2018;ST PAUL;LA REUNION;REUNION;89;90
LYCEE DES METIERS DE L'HOTELLERIE DE LA RESTAURATION ET DU T;2015;CHAMALIERES;CLERMONT-FERRAND;PUY DE DOME;91;94
LYCEE JEAN HINGLO (GENERAL ET TECHNO.);2018;LE PORT;LA REUNION;REUNION;92;85
LYCEE MASSILLON;2015;CLERMONT FERRAND;CLERMONT-FERRAND;PUY DE DOME;100;98
LYCEE LOUIS PAYEN;2018;ST PAUL;LA REUNION;REUNION;96;92
LYCEE PIERRE JOEL BONTE (GENERAL ET TECHNO.);2015;RIOM;CLERMONT-FERRAND;PUY DE DOME;98;93
LYCEE MOULIN JOLI (GENERAL ET TECHNO.);2018;LA POSSESSION;LA REUNION;REUNION;93;92
LYCEE ST JOSEPH;2015;HASPARREN;BORDEAUX;PYRENEES ATLANTIQUES;100;96
LYCEE LE VERGER;2018;STE MARIE;LA REUNION;REUNION;91;83
LYCEE MARIE CURIE;2015;TARBES;TOULOUSE;HAUTES PYRENEES;92;94
LYCEE DE BOIS D'OLIVE (GENERAL ET TECHNO.);2018;ST PIERRE;LA REUNION;REUNION;92;88
LYCEE PIERRE MENDES FRANCE;2015;VIC EN BIGORRE;TOULOUSE;HAUTES PYRENEES;91;92
LYCEE CATHOLIQUE MAISON BLANCHE (GENERAL ET TECHNO.);2018;ST PAUL;LA REUNION;REUNION;96;97
LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.);2015;CANET EN ROUSSILLON;MONTPELLIER;PYRENEES ORIENTALES;91;93
LYCEE YOUNOUSSA BAMANA;2018;MAMOUDZOU;MAYOTTE;MAYOTTE;62;
LYCEE FUSTEL DE COULANGES;2015;STRASBOURG;STRASBOURG;BAS RHIN;96;96
LYCEE DE PETITE-TERRE (GENERAL ET TECHNO.);2018;PAMANDZI;MAYOTTE;MAYOTTE;86;
LYCEE JEAN ROSTAND (GENERAL ET TECHNO.);2015;STRASBOURG;STRASBOURG;BAS RHIN;92;94
LYCEE JOSEPH-MARIE CARRIAT (GENERAL ET TECHNO.);2017;BOURG EN BRESSE;LYON;AIN;85;91
LYCEE LOUIS COUFFIGNAL (GENERAL ET TECHNO.);2015;STRASBOURG;STRASBOURG;BAS RHIN;90;94
LYCEE JEANNE D'ARC;2017;CESSY;LYON;AIN;100;97
LYCEE ALEXANDRE DUMAS (HOTELIER) (GENERAL ET TECHNO.);2015;ILLKIRCH;STRASBOURG;BAS RHIN;97;91
LYCEE SAINT CHARLES;2017;CHAUNY;AMIENS;AISNE;97;93
INSTITUTION NOTRE DAME;2015;STRASBOURG;STRASBOURG;BAS RHIN;99;96
LYCEE ALBERT LONDRES;2017;CUSSET;CLERMONT-FERRAND;ALLIER;89;92
INSTIT.LA DOCTRINE CHRETIENNE;2015;STRASBOURG;STRASBOURG;BAS RHIN;100;98
LYCEE SAINT PIERRE;2017;CUSSET;CLERMONT-FERRAND;ALLIER;91;95
LYCEE JEAN JACQUES HENNER (GENERAL ET TECHNO.);2015;ALTKIRCH;STRASBOURG;HAUT RHIN;98;95
LYCEE GENEVIEVE VINCENT (GENERAL ET TECHNO.);2017;COMMENTRY;CLERMONT-FERRAND;ALLIER;91;93
LYCEE BARTHOLDI;2015;COLMAR;STRASBOURG;HAUT RHIN;98;97
LYCEE LE SACRE COEUR;2017;DIGNE LES BAINS;AIX-MARSEILLE;ALPES DE HTE PROVENCE;95;94
LYCEE CAMILLE SEE;2015;COLMAR;STRASBOURG;HAUT RHIN;93;94
LYCEE DOMINIQUE VILLARS;2017;GAP;AIX-MARSEILLE;HAUTES ALPES;96;94
LYCEE ALBERT SCHWEITZER;2015;MULHOUSE;STRASBOURG;HAUT RHIN;90;89
LYCEE ARISTIDE BRIAND;2017;GAP;AIX-MARSEILLE;HAUTES ALPES;91;93
LYCEE MICHEL DE MONTAIGNE;2015;MULHOUSE;STRASBOURG;HAUT RHIN;93;93
LYCEE ST JOSEPH;2017;GAP;AIX-MARSEILLE;HAUTES ALPES;97;94
LYCEE RIBEAUPIERRE;2015;RIBEAUVILLE;STRASBOURG;HAUT RHIN;98;97
LYCEE AMIRAL DE GRASSE;2017;GRASSE;NICE;ALPES MARITIMES;93;91
LYCEE LACASSAGNE;2015;LYON 03;LYON;RHONE;84;84
LYCEE ALBERT CALMETTE;2017;NICE;NICE;ALPES MARITIMES;91;93
LYCEE ANTOINE DE SAINT-EXUPERY;2015;LYON 04;LYON;RHONE;93;96
LYCEE SAINTE MARIE;2017;CANNES;NICE;ALPES MARITIMES;98;93
LYCEE JULIETTE R?CAMIER;2015;LYON 02;LYON;RHONE;82;87
LYCEE ALLIANCE/APEDA;2017;NICE;NICE;ALPES MARITIMES;95;93
LYCEE AUGUSTE ET LOUIS LUMIERE;2015;LYON 08;LYON;RHONE;78;84
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2017;REVIN;REIMS;ARDENNES;80;79
LYCEE PARC CHABRIERES;2015;OULLINS;LYON;RHONE;86;93
LYCEE DU COUSERANS;2017;ST GIRONS;TOULOUSE;ARIEGE;90;89
LYCEE JEAN PERRIN;2015;LYON 09;LYON;RHONE;83;92
LYCEE CHRESTIEN DE TROYES;2017;TROYES;REIMS;AUBE;88;91
LYCEE RENE CASSIN;2015;TARARE;LYON;RHONE;93;93
LYCEE ST BERNARD;2017;TROYES;REIMS;AUBE;93;94
LYCEE SAINTE MARIE LYON;2015;LYON 05;LYON;RHONE;100;97
LYCEE LA SALLE;2017;TROYES;REIMS;AUBE;95;95
LYCEE PIERRE TERMIER;2015;LYON 08;LYON;RHONE;96;95
LYCEE CAMILLE CLAUDEL;2017;TROYES;REIMS;AUBE;95;94
LYCEE NOTRE DAME DE BELLEGARDE;2015;NEUVILLE SUR SAONE;LYON;RHONE;100;97
LYCEE LOUISE MICHEL (GENERAL ET TECHNO.);2017;NARBONNE;MONTPELLIER;AUDE;86;91
LYCEE DES CHASSAGNES;2015;OULLINS;LYON;RHONE;91;92
LYCEE BEAUSEJOUR;2017;NARBONNE;MONTPELLIER;AUDE;98;96
LYCEE SAINT THOMAS D'AQUIN VERITAS;2015;OULLINS;LYON;RHONE;100;97
LYCEE FERDINAND FOCH;2017;RODEZ;TOULOUSE;AVEYRON;98;95
LYCEE NOTRE DAME DE MONGRE;2015;VILLEFRANCHE SUR SAONE CED;LYON;RHONE;99;96
LYCEE MONTGRAND;2017;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;86;84
LYCEE SAINT LOUIS-SAINT BRUNO;2015;LYON 01;LYON;RHONE;95;94
LYCEE DENIS DIDEROT (GENERAL ET TECHNO.);2017;MARSEILLE 13;AIX-MARSEILLE;BOUCHES DU RHONE;83;76
LYCEE O R T;2015;LYON 08;LYON;RHONE;100;94
LYCEE STE CATHERINE DE SIENNE;2017;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;96;92
LYCEE CARREL;2015;LYON 06;LYON;RHONE;100;97
LYCEE TOUR SAINTE (DE);2017;MARSEILLE 14;AIX-MARSEILLE;BOUCHES DU RHONE;77;71
CITE SCOLAIRE INTERNATIONALE;2015;LYON 07;LYON;RHONE;97;97
LYCEE CHEVREUL BLANCARDE;2017;MARSEILLE 04;AIX-MARSEILLE;BOUCHES DU RHONE;98;97
LYCEE LAMARTINE;2015;MACON;DIJON;SAONE ET LOIRE;91;94
COURS BASTIDE;2017;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;96;92
LYCEE RENE CASSIN (GENERAL ET TECHNO.);2015;MACON;DIJON;SAONE ET LOIRE;93;94
LYCEE L'OLIVIER - ROBERT COFFY;2017;MARSEILLE 12;AIX-MARSEILLE;BOUCHES DU RHONE;100;97
LYCEE CAMILLE CLAUDEL;2015;DIGOIN;DIJON;SAONE ET LOIRE;94;95
LYCEE VIALA LACOSTE;2017;SALON DE PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;100;98
LYCEE FREDERIC OZANAM (GENERAL ET TECHNO.);2015;MACON;DIJON;SAONE ET LOIRE;99;96
LYCEE ST ELOI;2017;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;98;96
LYCEE HILAIRE DE CHARDONNET (GENERAL ET TECHNO.);2015;CHALON SUR SAONE;DIJON;SAONE ET LOIRE;92;93
LYCEE CHARLES PEGUY;2017;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;93;91
LYCEE MONTESQUIEU;2015;LE MANS;NANTES;SARTHE;93;97
LYCEE ST VINCENT DE PAUL;2017;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;84;91
LYCEE BELLEVUE;2015;LE MANS;NANTES;SARTHE;90;96
LYCEE PASTRE - GRANDE BASTIDE;2017;MARSEILLE 09;AIX-MARSEILLE;BOUCHES DU RHONE;96;94
LYCEE RAPHAEL ELIZE (GENERAL ET TECHNO.);2015;SABLE SUR SARTHE;NANTES;SARTHE;92;93
LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.);2017;LA CIOTAT;AIX-MARSEILLE;BOUCHES DU RHONE;86;91
LYCEE MARGUERITE YOURCENAR;2015;LE MANS;NANTES;SARTHE;95;94
LYCEE YAVNE;2017;MARSEILLE 13;AIX-MARSEILLE;BOUCHES DU RHONE;82;83
LYCEE MARLIOZ (GENERAL ET TECHNO.);2015;AIX LES BAINS;GRENOBLE;SAVOIE;94;95
LYCEE ARTHUR RIMBAUD;2017;ISTRES;AIX-MARSEILLE;BOUCHES DU RHONE;91;92
LYCEE GUILLAUME FICHET (GENERAL ET TECHNO.);2015;BONNEVILLE;GRENOBLE;HAUTE SAVOIE;90;91
LYCEE ANTONIN ARTAUD;2017;MARSEILLE 13;AIX-MARSEILLE;BOUCHES DU RHONE;89;90
LYCEE CHARLES PONCET (GENERAL ET TECHNO.);2015;CLUSES;GRENOBLE;HAUTE SAVOIE;94;92
LYCEE LA CADENELLE;2017;MARSEILLE 12;AIX-MARSEILLE;BOUCHES DU RHONE;98;94
LYCEE DEMOTZ DE LA SALLE (GENERAL ET TECHNO.);2015;RUMILLY;GRENOBLE;HAUTE SAVOIE;98;92
LYCEE HOTELIER REGIONAL (GENERAL ET TECHNO.);2017;MARSEILLE 08;AIX-MARSEILLE;BOUCHES DU RHONE;90;96
LYCEE MAXIMILIEN VOX-ART-DESSIN (GENERAL ET TECHNO.);2015;PARIS 06;PARIS;PARIS;99;98
LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.);2017;VITROLLES;AIX-MARSEILLE;BOUCHES DU RHONE;86;89
LYCEE SIMONE WEIL;2015;PARIS 03;PARIS;PARIS;92;89
LYCEE AMI;2017;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;95;89
LYCEE HENRI IV;2015;PARIS 05;PARIS;PARIS;100;100
LYCEE NOTRE DAME DE LA VISTE;2017;MARSEILLE 15;AIX-MARSEILLE;BOUCHES DU RHONE;89;78
LYCEE LAVOISIER;2015;PARIS 05;PARIS;PARIS;100;99
LYCEE AUGUSTIN FRESNEL;2017;CAEN;NORMANDIE;CALVADOS;83;91
LYCEE EDGAR QUINET (GENERAL ET TECHNO.);2015;PARIS 09;PARIS;PARIS;61;75
LYCEE ALBERT SOREL (GENERAL ET TECHNO.);2017;HONFLEUR;NORMANDIE;CALVADOS;95;95
LYCEE DORIAN (GENERAL ET TECHNO.);2015;PARIS 11;PARIS;PARIS;84;83
LYCEE MARIE CURIE;2017;VIRE NORMANDIE;NORMANDIE;CALVADOS;92;94
LYCEE RABELAIS-PARAMEDICAL ET SOCIAL;2015;PARIS 18;PARIS;PARIS;85;78
LYCEE JULES VERNE (GENERAL ET TECHNO.);2017;MONDEVILLE;NORMANDIE;CALVADOS;79;94
LYCEE EMILE DUBOIS;2015;PARIS 14;PARIS;PARIS;88;89
LYCEE CHARLES DE GAULLE;2017;CAEN;NORMANDIE;CALVADOS;94;97
LYCEE HONORE DE BALZAC;2015;PARIS 17;PARIS;PARIS;96;90
LYCEE CHARLES TELLIER (GENERAL ET TECHNO.);2017;CONDE EN NORMANDIE;NORMANDIE;CALVADOS;98;91
LYCEE HELENE BOUCHER;2015;PARIS 20;PARIS;PARIS;97;96
LYCEE P. S. DE LAPLACE (GENERAL ET TECHNO.);2017;CAEN;NORMANDIE;CALVADOS;97;97
LYCEE MAURICE RAVEL;2015;PARIS 20;PARIS;PARIS;91;91
LYCEE MONNET-MERMOZ (GENERAL ET TECHNO.);2017;AURILLAC;CLERMONT-FERRAND;CANTAL;92;94
LYCEE LES FRANCS BOURGEOIS;2015;PARIS 04;PARIS;PARIS;100;98
LYCEE MARGUERITE DE VALOIS;2017;ANGOULEME;POITIERS;CHARENTE;90;94
LYCEE SAINT-THOMAS D'AQUIN;2015;PARIS 07;PARIS;PARIS;97;96
LYCEE CHARLES A COULOMB;2017;ANGOULEME;POITIERS;CHARENTE;96;97
LYCEE ROCROY SAINT-VINCENT DE PAUL;2015;PARIS 10;PARIS;PARIS;100;98
LYCEE GRANDMONT;2015;TOURS;ORLEANS-TOURS;INDRE ET LOIRE;92;96
LYCEE SAINT PAUL;2017;ANGOULEME;POITIERS;CHARENTE;98;96
LYCEE GERSON;2015;PARIS 16;PARIS;PARIS;100;97
LYCEE PAUL-LOUIS COURIER;2015;TOURS;ORLEANS-TOURS;INDRE ET LOIRE;92;95
LYCEE DE BEAULIEU;2017;COGNAC;POITIERS;CHARENTE;98;95
LYCEE L'ASSOMPTION;2015;PARIS 16;PARIS;PARIS;98;97
LYCEE SAINT GATIEN;2015;JOUE LES TOURS;ORLEANS-TOURS;INDRE ET LOIRE;97;94
LYCEE EMILE COMBES (GENERAL ET TECHNO.);2017;PONS;POITIERS;CHARENTE MARITIME;95;94
LYCEE ALBERT DE MUN (GENERAL ET TECHNO.);2015;PARIS 07;PARIS;PARIS;97;96
LYCEE SAINTE MARGUERITE (GENERAL ET TECHNO.);2015;CHAMBRAY LES TOURS;ORLEANS-TOURS;INDRE ET LOIRE;88;96
LYCEE JEAN DAUTET;2017;LA ROCHELLE;POITIERS;CHARENTE MARITIME;93;96
LYCEE BETH HANNA;2015;PARIS 19;PARIS;PARIS;100;93
LYCEE STENDHAL;2015;GRENOBLE;GRENOBLE;ISERE;94;96
LYCEE LEONCE VIELJEUX;2017;LA ROCHELLE;POITIERS;CHARENTE MARITIME;92;94
LYCEE AUTOGERE;2015;PARIS 15;PARIS;PARIS;46;
LYCEE CHARLES GABRIEL PRAVAZ (GENERAL ET TECHNO.);2015;LE PONT DE BEAUVOISIN;GRENOBLE;ISERE;92;92
LYCEE FENELON NOTRE-DAME (GENERAL ET TECHNO.);2017;LA ROCHELLE;POITIERS;CHARENTE MARITIME;97;97
LYCEE THERESE CHAPPUIS;2015;PARIS 07;PARIS;PARIS;86;90
LYCEE NOTRE DAME DES VICTOIRES;2015;VOIRON;GRENOBLE;ISERE;96;95
LYCEE ALAIN FOURNIER;2017;BOURGES;ORLEANS-TOURS;CHER;91;93
LYCEE LUCIEN DE HIRSCH;2015;PARIS 19;PARIS;PARIS;100;97
EXTERNAT NOTRE DAME;2015;GRENOBLE;GRENOBLE;ISERE;98;90
LYCEE MARGUERITE DE NAVARRE;2017;BOURGES;ORLEANS-TOURS;CHER;92;95
LYCEE FRANCOIS 1ER;2015;LE HAVRE;NORMANDIE;SEINE MARITIME;93;93
LYCEE ARISTIDE BERGES;2015;SEYSSINET PARISET;GRENOBLE;ISERE;92;95
LYCEE DANTON (GENERAL ET TECHNO.);2017;BRIVE LA GAILLARDE;LIMOGES;CORREZE;92;93
LYCEE PIERRE CORNEILLE;2015;ROUEN;NORMANDIE;SEINE MARITIME;99;98
LYCEE LA PLEIADE;2015;PONT DE CHERUY;GRENOBLE;ISERE;91;90
LYCEE EDMOND PERRIER;2017;TULLE;LIMOGES;CORREZE;94;94
LYCEE GUSTAVE FLAUBERT;2015;ROUEN;NORMANDIE;SEINE MARITIME;92;95
LYCEE DU GRESIVAUDAN (GENERAL ET TECHNO.);2015;MEYLAN;GRENOBLE;ISERE;98;98
LYCEE DESIRE NISARD (GENERAL ET TECHNO.);2017;CHATILLON SUR SEINE;DIJON;COTE D'OR;86;92
LYCEE MARCEL SEMBAT;2015;SOTTEVILLE LES ROUEN;NORMANDIE;SEINE MARITIME;81;81
LYCEE SAINT MARC (GENERAL ET TECHNO.);2015;NIVOLAS VERMELLE;GRENOBLE;ISERE;98;97
LYCEE MONTCHAPET;2017;DIJON;DIJON;COTE D'OR;93;94
LYCEE CLAUDE MONET;2015;LE HAVRE;NORMANDIE;SEINE MARITIME;91;93
LYCEE PIERRE BEGHIN;2015;MOIRANS;GRENOBLE;ISERE;93;95
LYCEE GUSTAVE EIFFEL;2017;DIJON;DIJON;COTE D'OR;86;94
LYCEE JEAN XXIII;2015;YVETOT;NORMANDIE;SEINE MARITIME;98;95
LYCEE CHARLES NODIER;2015;DOLE;BESANCON;JURA;92;97
LYCEE LES ARCADES (GENERAL ET TECHNO.);2017;DIJON;DIJON;COTE D'OR;96;93
LYCEE EDOUARD DELAMARE DEBOUTTEVILLE (GENERAL ET TECHNO.);2015;FORGES LES EAUX;NORMANDIE;SEINE MARITIME;92;95
LYCEE VICTOR BERARD (GENERAL ET TECHNO.);2015;MOREZ;BESANCON;JURA;94;97
LYCEE FULGENCE BIENVENUE (GENERAL ET TECHNO.);2017;LOUDEAC;RENNES;COTES D'ARMOR;91;95
LYCEE VALLEE DU CAILLY;2015;DEVILLE LES ROUEN;NORMANDIE;SEINE MARITIME;86;90
LYCEE PASTEUR MONT ROLAND (GENERAL ET TECHNO.);2015;DOLE;BESANCON;JURA;92;94
LYCEE NOTRE DAME;2017;GUINGAMP;RENNES;COTES D'ARMOR;94;94
LYCEE RAYMOND QUENEAU (GENERAL ET TECHNO.);2015;YVETOT;NORMANDIE;SEINE MARITIME;97;94
LYCEE JEAN CASSAIGNE;2015;ST PIERRE DU MONT;BORDEAUX;LANDES;96;96
LYCEE EUGENE JAMOT;2017;AUBUSSON;LIMOGES;CREUSE;87;89
LYCEE LA FAYETTE (GENERAL ET TECHNO.);2015;CHAMPAGNE SUR SEINE;CRETEIL;SEINE ET MARNE;79;89
LYCEE AUGUSTIN THIERRY (GENERAL ET TECHNO.);2015;BLOIS;ORLEANS-TOURS;LOIR ET CHER;86;93
LYCEE PIERRE BOURDAN;2017;GUERET;LIMOGES;CREUSE;87;93
LYCEE ANDRE MALRAUX (GENERAL ET TECHNO.);2015;MONTEREAU FAULT YONNE;CRETEIL;SEINE ET MARNE;90;92
LYCEE CAMILLE CLAUDEL;2015;BLOIS;ORLEANS-TOURS;LOIR ET CHER;95;95
LYCEE RAYMOND LOEWY;2017;LA SOUTERRAINE;LIMOGES;CREUSE;95;94
LYCEE FREDERIC JOLIOT CURIE (GENERAL ET TECHNO.);2015;DAMMARIE LES LYS;CRETEIL;SEINE ET MARNE;91;94
LYCEE JEAN PUY;2015;ROANNE;LYON;LOIRE;90;92
LYCEE LAURE GATET;2017;PERIGUEUX;BORDEAUX;DORDOGNE;90;91
LYCEE GERARD DE NERVAL (GENERAL ET TECHNO.);2015;NOISIEL;CRETEIL;SEINE ET MARNE;93;92
LYCEE HONORE D'URFE;2015;ST ETIENNE;LYON;LOIRE;90;92
LYCEE JAY DE BEAUFORT;2017;PERIGUEUX;BORDEAUX;DORDOGNE;93;95
LYCEE GALILEE;2015;COMBS LA VILLE;CRETEIL;SEINE ET MARNE;93;95
LYCEE TEZENAS DU MONTCEL;2015;ST ETIENNE;LYON;LOIRE;93;88
LYCEE VICTOR HUGO;2017;BESANCON;BESANCON;DOUBS;91;95
LYCEE RENE DESCARTES (GENERAL ET TECHNO.);2015;CHAMPS SUR MARNE;CRETEIL;SEINE ET MARNE;92;88
LYCEE SAINT PAUL;2015;ROANNE;LYON;LOIRE;98;94
LYCEE LOUIS PASTEUR;2017;BESANCON;BESANCON;DOUBS;94;96
LYCEE JEHAN DE CHELLES (GENERAL ET TECHNO.);2015;CHELLES;CRETEIL;SEINE ET MARNE;86;90
LYCEE NOTRE DAME;2015;CHARLIEU;LYON;LOIRE;96;86
LYCEE GEORGES CUVIER;2017;MONTBELIARD;BESANCON;DOUBS;90;93
LYCEE MARTIN LUTHER KING;2015;BUSSY ST GEORGES;CRETEIL;SEINE ET MARNE;97;96
LYCEE SEVIGNE;2015;ST ETIENNE;LYON;LOIRE;96;94
LYCEE ARMAND PEUGEOT;2017;VALENTIGNEY;BESANCON;DOUBS;92;93
LYCEE EMILY BRONTE;2015;LOGNES;CRETEIL;SEINE ET MARNE;96;94
LYCEE DES HORIZONS;2015;CHAZELLES SUR LYON;LYON;LOIRE;98;95
LYCEE LES AUGUSTINS;2017;PONTARLIER;BESANCON;DOUBS;99;96
LYCEE DE LA MARE CARREE (GENERAL ET TECHNO.);2015;MOISSY CRAMAYEL;CRETEIL;SEINE ET MARNE;94;91
LYCEE NOTRE DAME DU CHATEAU;2015;MONISTROL SUR LOIRE;CLERMONT-FERRAND;HAUTE LOIRE;97;94
LYCEE FRANCOIS JEAN ARMORIN (GENERAL ET TECHNO.);2017;CREST;GRENOBLE;DROME;83;91
LYCEE PLAINE DE NEAUPHLE;2015;TRAPPES;VERSAILLES;YVELINES;84;79
LYCEE SACRE COEUR;2015;YSSINGEAUX;CLERMONT-FERRAND;HAUTE LOIRE;83;88
LYCEE DU DIOIS;2017;DIE;GRENOBLE;DROME;93;95
LYCEE SAINTE THERESE;2015;RAMBOUILLET;VERSAILLES;YVELINES;100;99
LYCEE GRAND AIR;2015;LA BAULE;NANTES;LOIRE ATLANTIQUE;94;96
LYCEE SAINT MAURICE;2017;ROMANS SUR ISERE;GRENOBLE;DROME;98;94
LYCEE EMILIE DE BRETEUIL (GENERAL ET TECHNO.);2015;ST QUENTIN EN YVELINES CED;VERSAILLES;YVELINES;95;95
LYCEE CLEMENCEAU;2015;NANTES;NANTES;LOIRE ATLANTIQUE;98;98
LYCEE LES CATALINS (GENERAL ET TECHNO.);2017;MONTELIMAR;GRENOBLE;DROME;92;93
LYCEE VINCENT VAN GOGH (GENERAL ET TECHNO.);2015;AUBERGENVILLE;VERSAILLES;YVELINES;92;93
LYCEE JULES VERNE;2015;NANTES;NANTES;LOIRE ATLANTIQUE;97;98
LYCEE AUGUSTIN FRESNEL;2017;BERNAY;NORMANDIE;EURE;89;94
LYCEE CHARLES DE GAULLE;2015;POISSY;VERSAILLES;YVELINES;95;93
LYCEE DE BRETAGNE;2015;NANTES;NANTES;LOIRE ATLANTIQUE;59;86
LYCEE MODESTE LEROY;2017;EVREUX;NORMANDIE;EURE;86;91
LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.);2015;MAGNANVILLE;VERSAILLES;YVELINES;93;90
LYCEE PAYS DE RETZ;2015;PORNIC;NANTES;LOIRE ATLANTIQUE;96;96
LYCEE MARCEAU;2017;CHARTRES;ORLEANS-TOURS;EURE ET LOIR;96;96
LYCEE SONIA DELAUNAY (GENERAL ET TECHNO.);2015;VILLEPREUX;VERSAILLES;YVELINES;96;94
LYCEE CENS;2015;LA CHAPELLE SUR ERDRE;NANTES;LOIRE ATLANTIQUE;95;94
LYCEE ROTROU;2017;DREUX;ORLEANS-TOURS;EURE ET LOIR;82;88
LYCEE ALAIN;2015;LE VESINET;VERSAILLES;YVELINES;93;96
LYCEE GALILEE;2015;GUERANDE;NANTES;LOIRE ATLANTIQUE;95;95
LYCEE ST PIERRE ST PAUL;2017;DREUX;ORLEANS-TOURS;EURE ET LOIR;97;94
LYCEE SAINT CHARLES;2015;THOUARS;POITIERS;DEUX-SEVRES;100;96
